Number,Postion,Company,Location,URL
42,C# S/W 개발자 or Python 응용 S/W 개발(사원주임대리과장의 전체 세부 정보,제스엔지니어링,서울 금천구,https://kr.indeed.com/rc/clk?jk=26ca4ab29d6cfb79&fccid=0f2f8141103a3f4e&vjs=3
43,딥러닝 통한 인공지능 솔루션 개발자의 전체 세부 정보,엘세븐시큐리티,서울 송파구,https://kr.indeed.com/rc/clk?jk=554e814302b8a380&fccid=72880ee98034ba13&vjs=3
44,[사업개발그룹] 넥슨 현대카드 데이터분석 PM의 전체 세부 정보,Nexon,경기도 성남,https://kr.indeed.com/rc/clk?jk=4e32eb4c5bf55af0&fccid=aba87288e4cc3687&vjs=3
45,대전 소프트웨어 개발자 (Springboot,추천시스템,빅데이터,Python,jsp)의 전체 세부 정보,이에프,대전 유성구,https://kr.indeed.com/rc/clk?jk=25c30697c8764be8&fccid=900c41cfb3813d9f&vjs=3
46,Data Engineering[책임매니저(G3)]의 전체 세부 정보,현대자동차그룹,서울 양재역,https://kr.indeed.com/rc/clk?jk=2227849edfa12196&fccid=980d6ecc399a3373&vjs=3
47,INTERN / AI Research Intern(Biology)의 전체 세부 정보,카카오브레인,성남 분당구,https://kr.indeed.com/rc/clk?jk=4c8d6ffc493b6509&fccid=cba3dd38afc6edb8&vjs=3
48,Python_Backend Engineer의 전체 세부 정보,Dunamu,서울,https://kr.indeed.com/rc/clk?jk=272637ad170fe32c&fccid=54c9c086b03b7cdc&vjs=3
49,2023 Student Training in Engineering Program (STEP)의 전체 세부 정보,Google,서울,https://kr.indeed.com/rc/clk?jk=b89ff63eb6593d15&fccid=a5b4499d9e91a5c6&vjs=3
50,OpenCV/MATLAB/TensorFlow/Python/C/C++/Linux 알고리즘 엔지니어의 전체 세부 정보,더마미러,서울 서초구,https://kr.indeed.com/rc/clk?jk=37828a9f8123595d&fccid=f401a9b533c97602&vjs=3
51,[판교] 연구개발(음성인식 서버개발)의 전체 세부 정보,시니어앤파트너즈,성남 분당구,https://kr.indeed.com/rc/clk?jk=c7d78c43d36c2abc&fccid=59060ddcdf96b101&vjs=3
52,HR데이터 분석 (People Analytics)[매니저, 책임매니저]의 전체 세부 정보,현대자동차그룹,대한민국,https://kr.indeed.com/rc/clk?jk=40c2e6d8ddd57c0f&fccid=980d6ecc399a3373&vjs=3
53,[글로벌보안본부] PC 게임보안(분석) 담당자의 전체 세부 정보,Nexon,경기도 성남,https://kr.indeed.com/rc/clk?jk=530852ce50269e15&fccid=aba87288e4cc3687&vjs=3
54,IT 전 부문별 (경력직/인턴직)의 전체 세부 정보,한솔피엔에스 아이티서비스부문,서울 마포구,https://kr.indeed.com/rc/clk?jk=3e707127fec26cb5&fccid=11eaba5d26cf2f85&vjs=3
55,[코리아교육그룹]Python / JAVA / C언어/ C# / C++ 강사 중의 전체 세부 정보,에스씨에이아카데미혜화,서울,https://kr.indeed.com/rc/clk?jk=f4aa3759d608d254&fccid=4aba802670ed5334&vjs=3
56,System Engineer의 전체 세부 정보,Toss,서울,https://kr.indeed.com/rc/clk?jk=a2ef9a233d991365&fccid=18c4935c8ec646d5&vjs=3
57,[글로벌디지털마케팅] Python Backend Engineer 정규직의 전체 세부 정보,콘센트릭스서비스코리아,서울 용산구,https://kr.indeed.com/rc/clk?jk=67def202b8c35365&fccid=7789b87d5d996c4a&vjs=3
58,[데브시스터즈] DevOps Engineer (신입)의 전체 세부 정보,데브시스터즈,서울 강남구,https://kr.indeed.com/rc/clk?jk=3058f7280a2e6644&fccid=58a9a803698a0afd&vjs=3
59,[외국계 스타트업 미소] Business Analyst의 전체 세부 정보,유한회사 미소,서울,https://kr.indeed.com/rc/clk?jk=51df90967b46e8f0&fccid=02936474a8d39137&vjs=3
60,기술 인턴 인공지능 응용 연구/개발 인턴의 전체 세부 정보,써로마인드로보틱스,서울 관악구,https://kr.indeed.com/rc/clk?jk=71c47ac87bb4087e&fccid=230e414668234579&vjs=3
61,가상자산 트레이딩 / 시스템 개발자의 전체 세부 정보,블록투리얼,서울 강남구,https://kr.indeed.com/rc/clk?jk=c04680232735292a&fccid=a0245242cd542697&vjs=3
62,[글로벌디지털마케팅] Python Backend Engineer 정규직의 전체 세부 정보,콘센트릭스서비스코리아,서울 용산구,https://kr.indeed.com/rc/clk?jk=67def202b8c35365&fccid=7789b87d5d996c4a&vjs=3
63,Data Engineer (전문연구요원)의 전체 세부 정보,비바리퍼블리카,서울 강남구,https://kr.indeed.com/rc/clk?jk=899d266ee97e2145&fccid=17dc934b27d58446&vjs=3
64,[선행기술원] SNN 기반 객체인식/추적 기술 개발[책임연구원]의 전체 세부 정보,현대자동차그룹,성남 판교역,https://kr.indeed.com/rc/clk?jk=5994131d80ea96a5&fccid=980d6ecc399a3373&vjs=3
65,Operations Manager의 전체 세부 정보,Uber,서울,https://kr.indeed.com/rc/clk?jk=f915c9a9f8f8a554&fccid=f766f8bfbc3effb7&vjs=3
66,백엔드 개발자(1년 이상)의 전체 세부 정보,씨드앤,서울 성동구,https://kr.indeed.com/rc/clk?jk=f9908647014583f3&fccid=c681ed894bde2d49&vjs=3
67,데이터분석가(Global)의 전체 세부 정보,RIDI Corp,서울,https://kr.indeed.com/rc/clk?jk=19b8de1e98be9c18&fccid=ba4215b904dee414&vjs=3
68,자동차, 메카트로닉스 외 경력의 전체 세부 정보,에이치알니즈,서울,https://kr.indeed.com/rc/clk?jk=56c8bc189b374d01&fccid=b8c1027d6dda0525&vjs=3
69,Presales Solutions Consultant (Simcenter 1D)의 전체 세부 정보,Siemens,서울,https://kr.indeed.com/rc/clk?jk=30360041ed2e5d93&fccid=ea6bb53f0b18b8f2&vjs=3
70,[CARVI] 영상인식엔지니어 신입/경력의 전체 세부 정보,카비,서울 금천구,https://kr.indeed.com/rc/clk?jk=24fc92ccd386dd16&fccid=5da90069fb31613f&vjs=3
71,[티빙] 데이터/검색 엔지니어 (Data/Search Engineer) 경력의 전체 세부 정보,티빙,서울 마포구,https://kr.indeed.com/rc/clk?jk=7ad5273ce13d1200&fccid=7d67963e24cc8901&vjs=3
72,[사업개발그룹] 넥슨 현대카드 데이터분석 PM의 전체 세부 정보,Nexon,경기도 성남,https://kr.indeed.com/rc/clk?jk=4e32eb4c5bf55af0&fccid=aba87288e4cc3687&vjs=3
73,웹개발, 프론트엔드 신입/경력 계약직의 전체 세부 정보,뮤레파코리아,성남 수정구,https://kr.indeed.com/rc/clk?jk=f498a784c28d03bb&fccid=5fc71e9cbda0dfc6&vjs=3
74,Python_Backend Engineer의 전체 세부 정보,Dunamu,서울,https://kr.indeed.com/rc/clk?jk=272637ad170fe32c&fccid=54c9c086b03b7cdc&vjs=3
75,Python 서버 어플리케이션 개발자의 전체 세부 정보,바인테크,서울 송파구,https://kr.indeed.com/rc/clk?jk=8a7c4886df34e482&fccid=aef44811e748bebe&vjs=3
