Number,Postion,Company,Location,URL
59,스타트업/인공지능연구소 Job사이트 DevOps/개발팀장급/백엔드의 전체 세부 정보,파이오니어에이아이연구소,서울 서초구,https://kr.indeed.com/rc/clk?jk=b6afa22832e54919&fccid=0d253babe88fcb13&vjs=3
60,[위메프] 보안 R&D Engineer의 전체 세부 정보,위메프,대한민국,https://kr.indeed.com/rc/clk?jk=10e19859fd3d47e3&fccid=2f8799a5ef214646&vjs=3
61,[(주)인브레인에이아이] Android  iOS 외 경력 정규직의 전체 세부 정보,인브레인에이아이,서울 금천구,https://kr.indeed.com/rc/clk?jk=27e78d108c59c27a&fccid=fcfaa1d6661c9175&vjs=3
62,[Lighthouse] AI Solution 서버 개발자 정규직 채용의 전체 세부 정보,KPMG-Korea,대한민국,https://kr.indeed.com/rc/clk?jk=d6c891d4878a07fc&fccid=2dd390c3a48a7ed0&vjs=3
63,(Seoul) Backend Engineer · AI Platform의 전체 세부 정보,Lunit,서울,https://kr.indeed.com/rc/clk?jk=7744016435feff34&fccid=9fd48ddc5e331d0e&vjs=3
64,백엔드 개발 경력직의 전체 세부 정보,외국계 대형 플랫폼사,대한민국,https://kr.indeed.com/rc/clk?jk=95bd159ef92b4469&fccid=a524028bdd057515&vjs=3
65,SW Engineer 경력자 모집의 전체 세부 정보,(주)모아데이타 관심기업 코스닥,성남 시흥동,https://kr.indeed.com/rc/clk?jk=a54f0568ca213411&fccid=e089c848ed0c4599&vjs=3
66,웹 개발직 반기 경력직 채용공고의 전체 세부 정보,꿀비,대전 만년동,https://kr.indeed.com/rc/clk?jk=0729eb32bd84b2e7&fccid=ebfbd1d5051bf9c7&vjs=3
67,전기전자컴퓨터공학부(지능형 생명정보 연구실) 위촉연구원(시간제)의 전체 세부 정보,광주과학기술원,광주 북구,https://kr.indeed.com/rc/clk?jk=ab10dd36e38c9106&fccid=617504e506359426&vjs=3
68,Software Engineer의 전체 세부 정보,Bear Robotics,서울,https://kr.indeed.com/rc/clk?jk=b3a8771733edfd23&fccid=d7230dda285fd6ea&vjs=3
